	statement	label	article_summary	final_label	0	1	2	3	4
71	"Omicron is “the fastest-spreading virus known to humankind."""	mostly-true	The basic reproduction number (R0) indicates the average number of times a person transmits the virus. Measles has the highest R0 of 12 to 18, followed closely by the omicron variant of COVID-19, which has an R0 higher than the delta variant. The omicron variant is estimated to be 1.5 to 2 times more transmissible than delta, with each case infecting 7 to 14 people. Measles, however, continues to be the most contagious virus.	NW	0	0	0	0	0
72	"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally."""	half-true	The potential reinstatement of Trump-era Migrant Protection Protocols, also called the Remain in Mexico policy, has been in flux since President Joe Biden took office. Biden ended the policy soon after taking office. The administration was ordered to reinstate these protocols by a federal court in Texas in August, and the Supreme Court upheld that decision. Customs and Border Protection reported a total of 1.7 million encounters with migrants at the southwestern border in the last fiscal year, with over 1 million individuals encountered year-to-date in fiscal 2021. Lt. Gov. Dan Patrick claimed that over a million people were apprehended this year, and estimated that another 2 or 3 million entered illegally based on law enforcement estimates.	U	0	0	0	0	0
73	"“Iowa ranks 45th in the U.S. for internet connectivity."""	TRUE	BroadbandNow.com, which obtains its data from the Federal Communications Commission and the U.S. Census Bureau, ranks Iowa as the 45th state in the U.S. for broadband access. The FCC reported that nearly one-fourth of the population in rural America lacks access to broadband service, impacting 14.5 million people across the country. The U.S. Census Bureau reported that between 2015 and 2019, 80.8% of Iowa households had broadband internet subscriptions. Out of all the states, Iowa had a smaller percentage of households with subscriptions compared to 16 other states.	W	0	0	0	0	0
74	Cheri Beasley voted to reverse the conviction of an armed kidnapper, release a double murderer early.	mostly-true	The NRSC ad claims that Cheri Beasley reversed the conviction of an armed kidnapper in State of North Carolina v. Ramar Dion Benjamin Crump and voted to grant early release to an armed double-murderer in State of North Carolina v. Bobby E. Bowden. In the Crump case, Beasley's vote was based on a fair trial violation relating to racial bias in jury selection. In the Bowden case, Beasley disagreed with the majority's decision that he was not eligible for sentence reduction despite accumulating credits for good behavior. Crump was released from prison last August, while Bowden died in 2019.	W	0	0	0	0	0
75	A video shows people in Romania protesting COVID-19 vaccines.	FALSE	Misleading video being shared online does not show the protest against COVID-19 restrictions in Bucharest, Romania. The exact number of protesters is unknown, but estimates range from 	U	0	0	0	0	0
76	“You go to a store, they don’t have bread.”	FALSE	While a specific baked good might be briefly missing from grocery store shelves, customers generally have many other options as stores carry various varieties of bread.	NW	0	0	0	0	0
77	“It costs more to live in many Florida cities than New York City.”	half-true	Florida residents are facing an affordable housing crisis due to rising rental prices and limited supply. The median rent in the Miami-Fort Lauderdale-West Palm Beach area has increased about 57% in the past year, surpassing that of New York City. However, other major metro areas in Florida, such as Tampa-St. Petersburg-Clearwater and Jacksonville, have lower median rents compared to New York City. Despite the rising rent prices in Florida, New York City remains one of the most expensive metros in the country in terms of actual rents and property prices.	U	1	1	1	0	1
78	Republican state Sens. Paul Newton and Warren Daniel “refused to even give testimony” in North Carolina’s latest redistricting case.	half-true	Sens. Paul Newton and Warren Daniel invoked legislative privilege under state laws and were exempted from depositions and testifying during the redistricting trial. While legislative privilege's scope is not well defined in the state law, legislators could still be compelled to answer certain questions. Sen. Ralph Hise, who testified, noted that the Senate redistricting process required maps to be drawn in public view, but no specific directive was issued banning staff from looking at concept maps outside of public view.	W	1	1	1	1	1
79	"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children."""	TRUE	The bill introduced in Iowa aims to install cameras in public school classrooms, allowing parents to watch a livestream of their child's class. The bill provides narrow exceptions for gym class and special education classrooms, and it envisions the livestream taking place over a secure platform like Zoom. The bill proposes using state funding to pay for the cameras, and it also aims to provide a record of classroom activities for teachers facing harassment. Similar bills have been proposed in Maryland, Texas, West Virginia, and Louisiana for special education classrooms.	NW	0	0	0	0	0
80	The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.	FALSE	As of Oct. 13, United Airlines spokesperson Charles Hobart said that 232 employees were facing termination for failing to comply with the COVID-19 vaccine mandate.	U	0	0	0	0	0
81	“Joe Biden holds the all-time record for the most money received from Pharma while in Congress! $8,550,422.”	half-true	Among past and current members of Congress, Biden holds the record for drug industry contributions, at nearly $8.9 million. More than 99% of the drug industry money Biden collected came during his 2020 presidential campaign. The pharmaceutical industry contributed less than $70,000 to Biden’s Senate campaign committees from 1989 to 2008. He ranks 708th for contributions received while Congress.	NW	0	0	0	0	0
82	This image shows the victims of the school shooting in Uvalde, Texas.	FALSE	The Facebook post incorrectly claims to show the victims of the Uvalde school shooting. However, the photo collage actually shows the victims of the 2012 shooting at Sandy Hook Elementary School.	NW	0	1	0	0	0
83	"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions."""	half-true	Democratic Nevada Sen. Catherine Cortez Masto is drawing on fears about abortion restrictions to repel a challenge from Republican Adam Laxalt. A leaked draft Supreme Court opinion could overturn Roe v. Wade, potentially impacting abortion access in Nevada. Nevada law allows abortion through 24 weeks of pregnancy with exceptions for the woman's life or health. Even if Roe were overturned, Nevada's law would still protect abortion rights, but a national ban on abortion would supersede the state law.	NW	0	0	0	0	0
84	"""Bill Gates and AOC say that a cow emits more pollution than a car."""	FALSE	Alexandria Ocasio-Cortez co-sponsored the Green New Deal, a proposed resolution to address climate change, which emphasizes the need to transition from fossil fuels to renewable energy sources. The resolution does not compare car emissions to those of cows. Ocasio-Cortez has advocated for addressing factory farming as a way to reduce greenhouse gas emissions. Although she has never specifically mentioned cows emitting more pollution than cars, she has talked about the need to eat less meat and reduce consumption of animal products to address climate change.	U	0	0	0	0	0
85	“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”	TRUE	Kathy Hoffman began lobbying for additional funds to add more counselors before the COVID-19 pandemic. By 2021, Arizona had 1,552 counselors, an increase of 290 counselors in three years. The student to counselor ratio improved by about 20%. Federal COVID relief dollars facilitated staff increases and Hoffman allocated $21.3 million for schools to hire counselors and social workers in 2021.	NW	0	0	0	0	0
86	Says U.S. Sen. Ron Johnson, his prospective opponent, has received $1.2 million from the gun lobby.	half-true	A Johnson campaign spokesperson, Alexa Henning, disputes the claim made by Lt. Gov. Mandela Barnes and states that Johnson had minimal control or personal knowledge of the $1.2 million in support he received from pro-gun groups.	NW	0	0	0	0	0
87	"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it."""	half-true	The Maricopa County Community College District began offering eligible DACA students in-state tuition by accepting their employment authorization as evidence of residency.	NW	0	0	0	0	0
88	"Says Gov. Tony Evers gave $2.4 million in COVID relief money to Planned Parenthood affiliates throughout Wisconsin “to bail them out and fund abortions."""	barely-true	Tony Evers allocated federal COVID relief funds to Planned Parenthood clinics in 21 locations throughout Wisconsin. The funds were not used for abortions. The Madison East location, Milwaukee's Water Street Health Center, and the Sheboygan clinic are the only clinics that provide abortion services, but they did not receive funds from the grant program.	U	0	0	0	0	0
89	U.S. Rep. Mayra Flores is “the first Mexican-born member of Congress.”	FALSE	Rep. Mayra Flores, R-Texas, is not the first Mexican-born member of Congress. Rep. Lauren Boebert, R-Colo., mistakenly claimed that Flores is 'the first Mexican-born member of Congress' on a July 11 podcast. However, three current members of Congress were born in Mexico, including Rep. Raul Ruiz, D-Calif., Rep. Salud Carbajal, D-Calif., and Rep. Jesus 'Chuy' García, D-Ill. Additionally, former Rep. Carlos Bee, D-Texas, was born in Saltillo, Mexico.	W	1	1	1	1	1
90	"""Don Bolduc wants to cut trillions from Medicare and end Social Security."""	mostly-true	Bolduc continued to call for big Medicare changes during his 2022 campaign, including privatizing it. Bolduc addressed his August comments in two subsequent interviews. According to audio and video clips cited by Hassan’s campaign, a man at one event asked how Bolduc would ensure that the man would receive his full Social Security benefits. Bolduc said 'we need to invest in Social Security' for current recipients and those soon to be receiving Social Security, but for people who are now roughly 45 or 50 years or old or younger, 'we’re going to develop a new program for you.	NW	0	0	0	0	0
91	"""Joe Biden is giving smartphones away to illegal border crossers.”"	half-true	The SmartLINK monitoring program, which utilizes smartphones to track immigrants released from custody, has been used by past administrations, including the Trump administration. The claim made by conservative pundit Nick Adams that the issuance of smartphones to illegal border crossers is an impeachable offense for Biden does not hold up. The Constitution states that a sitting president can be removed from office for 'treason, bribery or other high crimes and misdemeanors', but Adams fails to provide any evidence that the provision of smartphones meets these criteria. The claim is without merit.	NW	0	0	0	0	0
92	“Ninety-two percent of abortions in Virginia take place before 15 weeks.”	mostly-true	U.S. Rep. Bob Good urges Republicans to reject Virginia Gov. Glenn Youngkin's proposed abortion compromise and protect life from conception. Good argues that the compromise, banning most abortions at 15 weeks and potentially extending to 20 weeks, would only ban a small percentage of abortions (1%). Good supports 'The Life at Conception Act' and criticizes Youngkin and a panel of Republican negotiators for being open to a deal that targets just 1% of abortions in Virginia. Democrats in the General Assembly are divided on the issue.	NW	0	0	0	0	0
93	Says J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”	FALSE	Club for Growth Action, a super PAC backing Josh Mandel, ran a deceptive ad claiming J.D. Vance said 'people who voted for Trump voted for him for racist reasons'. The ad selectively edited Vance's words, omitting crucial context where Vance emphasized that most Trump voters were motivated by jobs, not racial animus. The interviewer had asked Vance about the role of race in Trump's win.	NW	0	0	0	0	0
94	"""We've had two members engage in a Democrat-led persecution of ordinary citizens who engaged in legitimate political discourse.”"	FALSE	Ronna McDaniel's claim of a Democrat-led persecution does not hold up when considering the individuals subpoenaed by the Jan. 6 committee. These individuals, who were involved in the submission of uncertified Trump electors, were not ordinary citizens but members of the Republican National Committee. The investigation into their actions is part of finding the facts surrounding the broader scheme to overturn the 2020 election. Legal scholars question the constitutionality of this scheme, and ongoing investigations by the Justice Department and a grand jury in Georgia are exploring potential criminal charges related to Trump's efforts to reverse his loss.	U	1	0	0	0	0
95	“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.	FALSE	In Maricopa County, Arizona, some polling centers faced glitches with tabulator machines during the election. However, there were no reports of voters being turned away or unable to vote. Technicians worked to resolve the issue, fixing the settings on nearly all the printers. Polling centers with no wait times were available for frustrated voters to cast their ballots. The Republican National Committee and others filed a lawsuit to extend polling hours beyond 7 p.m., which was denied by a Maricopa County judge. The judge stated that there was no evidence of voters being disenfranchised.	U	0	0	0	0	0
96	Photos show celebrities reacting to Will Smith slapping Chris Rock.	FALSE	A grid of 12 photos circulating online shows celebrities' shocked reactions to an incident involving Will Smith and Chris Rock at the Academy Awards. However, a reverse image search reveals that this is not the case. The photos were taken in 2017 when there was a mix-up at the Oscars. 'La La Land' was incorrectly announced as the Best Picture winner, later corrected to 'Moonlight'. Celebrities like Matt Damon, Dwayne Johnson, Busy Phillips, Meryl Streep, Salma Hayek, and David Oyelowo were captured reacting to the blunder.	W	0	0	0	0	0
97	Gun manufacturers are “the only industry in the country” that have immunity from lawsuits.	FALSE	Congress passed the Protection of Lawful Commerce in Arms Act in response to extensive litigation against gun sellers and makers. President Biden falsely claims that gun manufacturers enjoy the only industry-wide immunity from being sued. However, the gun industry does face some liabilities. The law does not shield gun dealers who knowingly transfer guns for criminal use, nor those who knowingly violate state or federal law resulting in harm. Other industries, such as vaccine manufacturers, also have liability exemptions established by Congress.	W	1	0	0	1	0
98	“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”	half-true	Title 42, implemented by President Donald Trump, is under scrutiny as the border crisis intensifies. Critics argue that the lack of collateral consequences under Title 42, highlighted by Aaron Reichlin-Melnick, allows migrants to evade immigration decisions and avoid being logged into Border Patrols databases. As a result, repeat crossings have surged from 7% to 27%. However, the surge in border crossings is driven by various factors, including the pandemic response, natural disasters, and economic conditions.	NW	0	0	0	0	0
99	Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.	half-true	Sarasota County Schools paused book purchases and donations to comply with a new law that requires age-appropriate book selection. The district will provide Florida's Department of Education with enough time to interpret and train personnel on HB 1467. Teachers can choose reading materials for their classrooms, but each book must undergo a review process. Scholastic orders by students and book fairs are still permitted, with a suggestion to reschedule some fairs.	NW	0	0	0	0	0
